Position,Name,Attempts,Duration,Word
1,wonton,1,0:00:02.869231,THERE
2,Carmina,2,0:00:03.930768,THERE
3,cornelius,2,0:00:04.093615,THERE
4,harlow,2,0:00:04.797761,THERE
5,Carmina,3,0:00:05.360489,THERE
6,,3,0:00:07.753973,THERE
7,mickey,3,0:00:40.651976,THERE
8,tin,4,0:00:07.510175,THERE
9,namewithoversixteencharacters,4,0:00:08.268467,THREE
10,Wonton,4,0:01:27.370161,TOAST
11,Cornelius,5,0:00:32.155371,MISSY
12,Carmina,5,0:00:46.285271,SLICK
13,Carmina,5,0:01:17.273805,BLEAT
14,Carmina,5,0:01:50.734068,ANIME
15,hello kitty,6,0:00:31.702584,THERE
16,Wonton,6,0:01:05.955206,DUMPY
